0.0 20.0 1.0
Linear 3 explicit
 0.000000 0.0 0.0 0.0
 0.010000 -3.810092380085202E-4 -0.07449276107626446 -0.6010385909132481
 0.020000 -0.0010925487390775726 -0.2632663596336968 -1.940722516663861
 0.030000 -0.001794278109666374 -0.4899729561831947 -3.566308661845639
 0.040000 -0.002281287778464391 -0.6667186747794958 -5.112329468541766
 0.050000 -0.002609656139797925 -0.7257398108122217 -6.336455266550601
 0.060000 -0.0031229307987986153 -0.6340758979501402 -7.133455737062462
 0.070000 -0.004177452971199061 -0.39468008774294816 -7.522954668991339
 0.080000 -0.005780775484610829 -0.037884625156131335 -7.613743639667156
 0.090000 -0.007527541258690918 0.3917714278604194 -7.5554703082914045
 0.100000 -0.008898381059123309 0.8485820475337675 -7.492098586172396
 0.110000 -0.00962487762461043 1.295299261952593 -7.528829861416433
 0.120000 -0.009829723336380379 1.7079994464473671 -7.717517460466347
 0.130000 -0.009894018496978456 2.076517759271809 -8.058953860037143
 0.140000 -0.010186007793975667 2.401762452745615 -8.51644024571015
 0.150000 -0.010829499290349846 2.6914812722739825 -9.034129016155418
 0.160000 -0.011649891482660785 2.9558459825259007 -9.554680889969426
 0.170000 -0.012331760639562338 3.203841357946402 -10.03259029206809
 0.180000 -0.01267522433449918 3.4410355239645014 -10.441411530797112
 0.190000 -0.01274921022157692 3.6688975228516156 -10.774799439646198
 0.200000 -0.01281461283249183 3.8854470869461792 -11.042621678428535
 0.210000 -0.013089231676419356 4.086744850552535 -11.264241225385003
 0.220000 -0.013565991642186078 4.2686255268486235 -11.4612753882186
 0.230000 -0.014040072422619086 4.428149545827964 -11.651734660906122
 0.240000 -0.014306567636591726 4.564444928241045 -11.846641045112502
 0.250000 -0.014342202809022264 4.6788469190560065 -12.049328175282767
 0.260000 -0.014310902272710636 4.774445299634749 -12.256902489754452
 0.270000 -0.01439997012252846 4.855276724737266 -12.462938182264786
 0.280000 -0.014647167210431125 4.925440238691927 -12.660402703919399
 0.290000 -0.014920027143971292 4.988377390512007 -12.843995163457805
 0.300000 -0.015057674756866021 5.046467010125511 -13.01142191838796
 0.310000 -0.015028328953701233 5.100970688073552 -13.163519404825571
 0.320000 -0.014947943215198291 5.152262569126144 -13.303461893458703
 0.330000 -0.014952432312873916 5.200213230971194 -13.435487934008762
 0.340000 -0.015063314207661003 5.244583671659242 -13.563615131446959
 0.350000 -0.015182733693573473 5.285315944969362 -13.690709517562375
 0.360000 -0.015210381811549004 5.322663648459454 -13.818091130910403
 0.370000 -0.015149362740701994 5.357166066052741 -13.94566217586846
 0.380000 -0.015091296609922688 5.389515627018675 -14.072397044493144
 0.390000 -0.015108728810835673 5.420389078096591 -14.196966159647975
 0.400000 -0.015179907111935634 5.450307449502006 -14.318279631647616
 0.410000 -0.015224415463501284 5.4795655655465865 -14.43581019447835
 0.420000 -0.015198966685087193 5.5082400474178215 -14.549653560516152
 0.430000 -0.015140648341597146 5.5362571146627815 -14.660373634885705
 0.440000 -0.015115057843305094 5.563486007799334 -14.768734940074516
 0.450000 -0.01513890561705824 5.589822945612305 -14.875435396801144
 0.460000 -0.015168430620860726 5.61524134252695 -14.980925292302508
 0.470000 -0.015158895326281969 5.639800487116311 -15.085349868742682
 0.480000 -0.015116961007365363 5.66362037919356 -15.188603833841164
 0.490000 -0.015085239270419588 5.686839957300734 -15.29045239136094
 0.500000 -0.015086207783384861 5.70957752387271 -15.390662528299792
 0.510000 -0.015098215998392894 5.731906908939308 -15.489098500787083
 0.520000 -0.015088441820486853 5.753854114589096 -15.58575851782421
 0.530000 -0.015054813603472002 5.775410759771219 -15.680755009889964
 0.540000 -0.015023924398188502 5.796555521483903 -15.774259586720898
 0.550000 -0.01501364509428143 5.817274005818248 -15.86644090573353
 0.560000 -0.015012329072949313 5.8375703250734645 -15.957419228606248
 0.570000 -0.014998486706073505 5.857468256241432 -16.04724958851522
 0.580000 -0.014969858798410842 5.8770041770468495 -16.135932228187603
 0.590000 -0.01494309363690126 5.896216513768614 -16.2234394863057
 0.600000 -0.014928939447667981 5.91513662265875 -16.30974512913594
 0.610000 -0.014919197885979067 5.933784284183076 -16.394844802057786
 0.620000 -0.014900825195738808 5.952168416942655 -16.47876238260092
 0.630000 -0.01487415559200921 5.970291432335138 -16.56154354049189
 0.640000 -0.01485017078328091 5.988154632112725 -16.643242297280654
 0.650000 -0.01483387636885562 6.0057623043527855 -16.723907607773228
 0.660000 -0.014818644995156217 6.023123269158276 -16.803575191026653
 0.670000 -0.014797440439369624 6.0402499325084165 -16.882266415777586
 0.680000 -0.014772604015863177 6.057155881604253 -16.9599927805465
 0.690000 -0.014750865631173796 6.073853395418915 -17.036762716955735
 0.700000 -0.01473311859014051 6.0903519428815756 -17.112587416597925
